,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_BYTES,Clusters
0,8,22,0,283,4
1,0,3,2,112,1
2,2,2,0,788,1
3,1,3,1920,15360,1
4,566,100,0,0,4
5,1,2,1920,15360,1
6,5,1,0,22,1
7,0,1,1,12,1
8,0,1,1,12,1
9,0,3,2,136,1
10,1,2,2,144,1
11,0,3,0,0,1
12,1,1,2,312,1
13,17,2,0,165,1
14,0,2,1920,15360,1
15,4,2,0,313,1
16,7,2,0,345,1
17,3,1,0,26,1
18,1,1,1920,15360,1
19,75,2,0,8,1
20,17,21,0,30,4
21,0,1,1920,15360,1
22,1,16,1,380,4
23,0,1,1,12,1
24,0,3,2,136,1
25,9,6,0,101,1
26,1,6,2,312,1
27,0,3,2,136,1
28,1,1,2,448,1
29,3,10,0,86,1
30,1,3,2,136,1
31,7,22,0,91,4
32,39,1,0,3,1
33,0,3,2,136,1
34,4,22,0,125,4
35,15,22,0,49,4
36,0,7,2,112,1
37,1,3,2,136,1
38,0,3,2,136,1
39,0,1,1,12,1
40,6,6,0,122,1
41,1,4,2,40,1
42,28,28,0,10,4
43,0,1,1,12,1
44,3,2,0,218,1
45,4,21,0,124,4
46,0,1,1,12,1
47,2,2,0,368,1
48,3,3,0,85,1
49,2,2,0,254,1
50,0,4,2,240,1
51,415,2,0,2,1
52,0,1,1920,15360,1
53,7,2,0,497,1
54,4,6,0,40,1
55,1,1,2,528,1
56,8,5,0,24,1
57,3,7,0,37,1
58,1,2,1920,15360,1
59,2,3,1,100,1
60,1,2,1,2020,1
61,0,2,2,144,1
62,1,3,2,112,1
63,13,1,0,52,1
64,13,21,0,38,4
65,2,1,1,52,1
66,3,3,0,58,1
67,0,1,1,12,1
68,1,1,2,96,1
69,6,22,0,73,4
70,3,5,0,101,1
71,0,1,2,32,1
72,0,1,1,12,1
73,14,1,0,4,1
74,0,3,2,136,1
75,3,7,0,37,1
76,4,7,0,42,1
77,0,1,2,112,1
78,13,10,0,40,1
79,1,2,1,3456,1
80,4,1,0,18,1
81,9,22,0,66,4
82,0,5,2,168,1
83,2,1,1,48,1
84,14,4,0,13,1
85,9,2,0,132,1
86,38,21,0,15,4
87,5,22,0,108,4
88,2,1,1,56,1
89,3,2,0,252,1
90,1,12,1,248,4
91,1,3,2,136,1
92,115,2,0,4,1
93,2,2,0,244,1
94,8,1,0,13,1
95,73,1,0,1,1
96,1,2,1,376,1
97,1928,1,0,0,5
98,1,1,2,264,1
99,6,1,0,52,1
100,0,2,1920,15360,1
101,27,22,0,42,4
102,0,1,2,32,1
103,7,5,0,16,1
104,0,1,0,0,1
105,4,1,0,28,1
106,8,22,0,62,4
107,7,5,0,19,1
108,0,1,1920,15360,1
109,2,3,960,7680,1
110,107,1,17,143,1
111,16,1,0,6,1
112,55,22,0,12,4
113,2,1,0,6,1
114,4,2,0,732,1
115,4,3,0,28,1
116,8,2,0,329,1
117,8,2,240,1920,1
118,1,12,1,248,4
119,130,2,0,0,1
120,4,22,0,139,4
121,5,5,0,20,1
122,10,2,0,84,1
123,109,2,0,3,1
124,0,1,2,112,1
125,1,1,1,12,1
126,0,2,1,660,1
127,2,3,1,52,1
128,11,3,0,10,1
129,7,22,0,86,4
130,3,2,0,470,1
131,1,1,2,96,1
132,1,1,2,208,1
133,0,1,1920,15360,1
134,25,1,0,8,1
135,0,1,2,80,1
136,1,1,1,12,1
137,0,2,2,144,1
138,0,4,1,68,1
139,10,2,0,245,1
140,61,6,0,2,1
141,4,6,0,60,1
142,108,22,0,7,4
143,1,1,2,64,1
144,9,3,0,11,1
145,3,22,0,157,4
146,69,7,0,1,1
147,12,7,0,9,1
148,3,22,0,153,4
