,0,1,2,3,4,Clusters
0,0.126,0.0,0.0,0.874,0.0,4
1,1.0,0.0,0.0,0.0,0.0,1
2,0.986,0.0,0.01,0.004,0.0,1
3,1.0,0.0,0.0,0.0,0.0,1
4,1.0,0.0,0.0,0.0,0.0,1
5,0.982,0.0,0.014,0.004,0.0,1
6,1.0,0.0,0.0,0.0,0.0,1
7,0.04,0.0,0.0,0.0,0.96,5
8,0.998,0.0,0.002,0.0,0.0,1
9,1.0,0.0,0.0,0.0,0.0,1
10,1.0,0.0,0.0,0.0,0.0,1
11,0.982,0.0,0.014,0.004,0.0,1
12,1.0,0.0,0.0,0.0,0.0,1
13,0.126,0.0,0.0,0.874,0.0,4
14,1.0,0.0,0.0,0.0,0.0,1
15,0.998,0.0,0.002,0.0,0.0,1
16,0.986,0.0,0.01,0.004,0.0,1
17,1.0,0.0,0.0,0.0,0.0,1
18,0.054,0.0,0.008,0.936,0.002,4
19,0.992,0.0,0.008,0.0,0.0,1
20,1.0,0.0,0.0,0.0,0.0,1
21,1.0,0.0,0.0,0.0,0.0,1
22,0.988,0.0,0.012,0.0,0.0,1
23,1.0,0.0,0.0,0.0,0.0,1
24,1.0,0.0,0.0,0.0,0.0,1
25,0.992,0.0,0.008,0.0,0.0,1
26,1.0,0.0,0.0,0.0,0.0,1
27,1.0,0.0,0.0,0.0,0.0,1
28,0.072,0.0,0.006,0.922,0.0,4
29,0.102,0.0,0.004,0.894,0.0,4
30,1.0,0.0,0.0,0.0,0.0,1
31,0.04,0.0,0.0,0.0,0.96,5
32,1.0,0.0,0.0,0.0,0.0,1
33,1.0,0.0,0.0,0.0,0.0,1
34,1.0,0.0,0.0,0.0,0.0,1
35,0.998,0.0,0.002,0.0,0.0,1
36,1.0,0.0,0.0,0.0,0.0,1
37,0.126,0.0,0.002,0.872,0.0,4
38,1.0,0.0,0.0,0.0,0.0,1
39,1.0,0.0,0.0,0.0,0.0,1
40,1.0,0.0,0.0,0.0,0.0,1
41,1.0,0.0,0.0,0.0,0.0,1
42,1.0,0.0,0.0,0.0,0.0,1
43,0.998,0.0,0.002,0.0,0.0,1
44,1.0,0.0,0.0,0.0,0.0,1
45,0.04,0.0,0.0,0.0,0.96,5
46,0.064,0.0,0.006,0.926,0.004,4
47,0.982,0.0,0.014,0.004,0.0,1
48,0.984,0.0,0.012,0.004,0.0,1
49,0.062,0.0,0.008,0.928,0.002,4
50,0.998,0.0,0.002,0.0,0.0,1
51,0.984,0.0,0.012,0.004,0.0,1
52,1.0,0.0,0.0,0.0,0.0,1
53,0.984,0.0,0.014,0.002,0.0,1
54,1.0,0.0,0.0,0.0,0.0,1
55,1.0,0.0,0.0,0.0,0.0,1
56,1.0,0.0,0.0,0.0,0.0,1
57,0.038,0.704,0.0,0.004,0.254,2
58,1.0,0.0,0.0,0.0,0.0,1
59,1.0,0.0,0.0,0.0,0.0,1
60,1.0,0.0,0.0,0.0,0.0,1
61,1.0,0.0,0.0,0.0,0.0,1
62,1.0,0.0,0.0,0.0,0.0,1
63,1.0,0.0,0.0,0.0,0.0,1
64,1.0,0.0,0.0,0.0,0.0,1
65,1.0,0.0,0.0,0.0,0.0,1
66,0.984,0.0,0.012,0.004,0.0,1
67,0.984,0.0,0.012,0.004,0.0,1
68,0.998,0.0,0.002,0.0,0.0,1
69,1.0,0.0,0.0,0.0,0.0,1
70,1.0,0.0,0.0,0.0,0.0,1
71,1.0,0.0,0.0,0.0,0.0,1
72,0.992,0.0,0.008,0.0,0.0,1
73,0.998,0.0,0.002,0.0,0.0,1
74,1.0,0.0,0.0,0.0,0.0,1
75,0.986,0.0,0.014,0.0,0.0,1
76,1.0,0.0,0.0,0.0,0.0,1
77,0.99,0.0,0.01,0.0,0.0,1
78,1.0,0.0,0.0,0.0,0.0,1
79,1.0,0.0,0.0,0.0,0.0,1
80,0.982,0.0,0.014,0.004,0.0,1
81,1.0,0.0,0.0,0.0,0.0,1
82,0.998,0.0,0.002,0.0,0.0,1
83,1.0,0.0,0.0,0.0,0.0,1
84,1.0,0.0,0.0,0.0,0.0,1
85,0.998,0.0,0.002,0.0,0.0,1
86,1.0,0.0,0.0,0.0,0.0,1
87,1.0,0.0,0.0,0.0,0.0,1
88,0.982,0.0,0.014,0.004,0.0,1
89,0.114,0.0,0.004,0.882,0.0,4
90,0.998,0.0,0.002,0.0,0.0,1
